mchDate,mchTime,mchType,oppName,locName,locState,trnName,-=winLoss,-runTerps',-runOpponents'
2001-02-16,13:00:00,Away,Washington,Tampa,FL,USF-Holiday Inn Tournament,L,5,10
2001-02-17,18:00:00,Away,Hofstra,Tampa,FL,USF-Holiday Inn Tournament,W,2,1
2001-02-17,20:00:00,Away,South Carolina,Tampa,FL,USF-Holiday Inn Tournament,W,4,3
2001-02-18,14:00:00,Away,South Florida,Tampa,FL,USF-Holiday Inn Tournament,L,2,4
2001-02-23,13:00:00,Away,Florida A&M,Boca Raton,FL,Florida Atlantic Invitational,W,5,1
2001-02-24,13:00:00,Away,Florida St,Boca Raton,FL,Florida Atlantic Invitational,L,3,5
2001-02-25,8:00:00,Away,Florida A&M,Boca Raton,FL,Florida Atlantic Invitational,W,4,3
2001-02-25,10:00:00,Away,Florida Atlantic,Boca Raton,FL,Florida Atlantic Invitational,L,1,4
2001-03-02,15:00:00,Home,Towson,College Park,MD,Terrapin Invitational,W,8,1
2001-03-08,17:00:00,Away,UIC,Tampa,FL,Speedline Invitational,L,0,1
2001-03-09,14:00:00,Away,Florida A&M,Tampa,FL,Speedline Invitational,W,4,1
2001-03-10,12:00:00,Away,Oklahoma St,Tampa,FL,Speedline Invitational,W,3,1
2001-03-14,14:30:00,Home,Monmouth Ill,College Park,MD,,L,1,3
2001-03-14,16:30:00,Home,Monmouth Ill,College Park,MD,,W,2,1
2001-03-16,12:00:00,Away,Troy St,Tallahassee,FL,Lady Seminole Invitational,W,5,4
2001-03-17,17:30:00,Away,Syracuse,Tallahassee,FL,Lady Seminole Invitational,W,5,3
2001-03-20,3:00:00,Home,Drexel,College Park,MD,,W,3,2
2001-03-23,13:00:00,Away,Troy St,Marietta,GA,Buzz Classic,W,8,1
2001-03-24,17:00:00,Away,Connecticut,Marietta,GA,Buzz Classic,W,6,2
2001-03-28,14:30:00,Away,Morgan St,Baltimore,MD,,W,10,1
2001-04-04,14:30:00,Home,UMBC,College Park,MD,,W,5,1
2001-04-04,16:30:00,Home,UMBC,College Park,MD,,W,3,2
2001-04-14,15:00:00,Home,George Mason,College Park,MD,,W,7,1
2001-04-15,15:00:00,Home,Georgia Tech,College Park,MD,ACC/SASA Game,L,3,4
2001-04-22,13:00:00,Away,Virginia,Charlottesville,VA,ACC/SASA Game,L,2,3
2001-04-22,12:35:00,Away,Virginia,Charlottesville,VA,ACC/SASA Game,L,1,5
2001-04-25,17:00:00,Away,Towson,Towson,MD,,L,4,5
2001-04-29,13:00:00,Home,East Carolina,College Park,MD,ACC/SASA Game,W,3,2
2001-04-29,15:00:00,Home,East Carolina,College Park,MD,ACC/SASA Game,W,4,3
2001-05-05,14:00:00,Away,Florida St,Tallahassee,FL,ACC/SASA Game,L,1,10
2001-05-11,17:00:00,Away,Florida St,Raleigh,NC,ACC Tournaments,L,1,2
2001-05-12,15:00:00,Away,Virginia,Raleigh,NC,ACC Tournaments,W,3,1
2002-02-08,12:00:00,Home,Evansville,Tuscaloosa,AL,Bama Bash,W,4,3
2002-02-09,12:00:00,Away,Samford,Tuscaloosa,AL,Bama Bash,W,11,1
